City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,bamboo flat,11.7,92.7167,24.05,83,100,0.51,IN,1709753096
102,manismata,-2.4667,111.0333,23.49,99,100,0.99,ID,1709753096
103,monywa,22.1167,95.1333,23.68,30,0,1.58,MM,1709753096
104,port elizabeth,-33.918,25.5701,19.62,83,75,2.06,ZA,1709753097
105,swift current,50.2834,-107.8014,-15.55,85,0,4.63,CA,1709753097
106,porto torres,40.835,8.3972,11.1,72,15,5.89,IT,1709752899
107,kapa'a,22.0752,-159.319,25.99,65,0,10.29,US,1709753098
108,saldanha,-33.0117,17.9442,18.03,77,99,3.96,ZA,1709753098
109,xilin hot,43.9667,116.0333,-12.67,87,100,0.96,CN,1709753099
110,georgetown,5.4112,100.3354,29.97,88,40,2.57,MY,1709752978
111,olyokminsk,60.3736,120.4264,-29.58,100,100,0.11,RU,1709753099
112,tolanaro,-25.0319,46.9987,24.04,94,75,7.2,MG,1709753100
113,afaahiti,-17.75,-149.2833,28.93,80,100,5.31,PF,1709753100
114,kudahuvadhoo,2.6708,72.8944,27.98,79,100,4.72,MV,1709753100
115,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,91,0,5.81,RU,1709752937
116,ust-tsilma,65.441,52.1498,-2.99,95,100,3.13,RU,1709753101
117,port blair,11.6667,92.75,24.02,83,100,0.51,IN,1709753102
118,isangel,-19.55,169.2667,26.93,86,67,6.32,VU,1709753102
119,cabedelo,-6.9811,-34.8339,30.37,74,100,4.64,BR,1709753102
120,kapuskasing,49.4169,-82.4331,0.05,37,0,1.54,CA,1709753103
121,tralee,52.2704,-9.7026,10.56,86,100,6.88,IE,1709753103
122,camocim,-2.9022,-40.8411,28.42,76,100,5.24,BR,1709753103
123,papao,-17.75,-149.55,29.82,79,100,5.39,PF,1709753104
124,argostolion,38.1811,20.489,13.75,54,50,4.26,GR,1709753104
125,berezovyy,51.6667,135.7,-17.66,94,94,1.49,RU,1709753104
126,newala kisimani,-10.95,39.2833,20.33,98,16,1.93,TZ,1709753105
127,scottsboro,34.6723,-86.0341,18.23,82,100,4.12,US,1709753105
128,fale old settlement,-9.3852,-171.2468,28.48,75,13,2.6,TK,1709753105
129,taltal,-25.4,-70.4833,22.5,67,22,2.84,CL,1709753106
130,itaituba,-4.2761,-55.9836,29.09,74,40,8.75,BR,1709753106
131,humboldt,40.6665,-123.9178,6.18,92,99,1.12,US,1709753106
132,margaret river,-33.95,115.0667,19.06,57,6,4.69,AU,1709753107
133,polyarnyy,69.1989,33.4478,2.17,99,100,8.95,RU,1709753107
134,sal rei,16.1833,-22.9167,23.11,64,20,8.23,CV,1709753107
135,charikar,35.0136,69.1714,3.0,54,78,2.39,AF,1709753108
136,kasimov,54.9411,41.3953,-14.39,96,26,1.18,RU,1709753108
137,nakhon si thammarat,8.25,100.0,25.52,80,100,1.15,TH,1709753108
138,college,64.8569,-147.8028,-7.18,73,75,2.57,US,1709753109
139,talnakh,69.4865,88.3972,-13.72,97,100,2.47,RU,1709753110
140,antonio enes,-16.2325,39.9086,26.55,89,98,3.64,MZ,1709753110
141,salaverry,-8.2333,-78.9667,23.21,81,67,4.35,PE,1709753111
142,turpan,42.9333,89.1667,4.19,24,0,1.09,CN,1709753107
143,rundu,-17.9333,19.7667,21.87,69,100,3.39,NA,1709753111
144,oroqen zizhiqi,50.5667,123.7167,-16.07,99,92,1.34,CN,1709753112
145,conde,-7.2597,-34.9075,29.7,74,75,5.14,BR,1709753112
146,whitehorse,60.7161,-135.0538,-8.83,60,75,8.23,CA,1709753112
147,dhidhdhoo,6.8833,73.1,28.18,69,0,4.54,MV,1709753113
148,jalqani,12.4486,34.2186,31.53,11,10,3.51,SD,1709753114
149,bata,1.8639,9.7658,27.66,83,100,4.58,GQ,1709753114
150,keyser,39.4409,-78.9739,16.69,92,100,1.66,US,1709753114
151,lata,40.1629,-8.3327,12.82,72,100,2.25,PT,1709753115
152,ukata,10.8312,5.8249,34.7,26,93,2.09,NG,1709753115
153,mishan,45.55,131.8833,-15.34,94,23,2.02,CN,1709753115
154,punta arenas,-53.15,-70.9167,14.01,62,40,5.14,CL,1709753087
155,ta`u,-14.2336,-169.5144,27.62,78,94,3.35,AS,1709753116
156,moia,41.8101,2.0958,8.96,88,80,2.03,ES,1709753116
157,klyuchi,52.2667,79.1667,-10.09,89,89,4.14,RU,1709753084
158,al jawf,29.5,38.75,18.49,21,0,5.67,SA,1709753117
159,grand falls-windsor,48.9332,-55.6649,4.58,96,100,1.91,CA,1709753118
160,kodiak,57.79,-152.4072,0.73,75,0,3.09,US,1709753118
161,natal,-5.795,-35.2094,31.36,84,75,7.2,BR,1709752712
162,rio grande,-32.035,-52.0986,24.41,55,0,4.67,BR,1709753111
163,bojnurd,37.4747,57.329,4.97,60,0,1.03,IR,1709753119
164,qaqortoq,60.7167,-46.0333,-7.6,80,100,0.64,GL,1709753119
165,yangliuqing,39.1375,116.9997,-0.03,58,100,3.17,CN,1709753120
166,ust-nera,64.5667,143.2,-25.33,100,99,1.15,RU,1709753120
167,funafuti,-8.5243,179.1942,30.0,79,40,2.57,TV,1709753120
168,tual,-5.6667,132.75,29.01,77,95,2.9,ID,1709753121
169,karachi,24.9056,67.0822,20.9,52,0,2.06,PK,1709752605
170,sivrice,38.4482,39.3084,3.56,87,75,1.03,TR,1709753121
171,cam ranh,11.9214,109.1591,24.98,100,20,0.51,VN,1709753122
172,las tablas,7.7667,-80.2833,31.57,54,96,4.3,PA,1709753122
173,yanta,36.2411,115.6672,3.34,53,100,3.08,CN,1709753122
174,namtsy,62.7161,129.6658,-28.07,100,100,1.89,RU,1709753123
175,clackamas,45.2496,-122.1679,3.61,77,55,1.47,US,1709753124
176,alice springs,-23.7,133.8833,25.75,73,100,2.06,AU,1709753124
177,ad dilam,23.9915,47.1627,20.23,23,10,4.59,SA,1709753124
178,flying fish cove,-10.4217,105.6791,25.82,100,100,0.51,CX,1709753125
179,kyzyl,51.7,94.45,-18.88,94,98,0.45,RU,1709753125
180,mount pleasant,32.7941,-79.8626,25.61,69,40,2.57,US,1709753125
181,geraldton,-28.7667,114.6,29.23,51,0,9.26,AU,1709753126
182,dundalk,39.2507,-76.5205,12.3,94,100,4.63,US,1709753126
183,salinopolis,-0.6136,-47.3561,28.94,74,94,4.65,BR,1709753126
184,ponta delgada,37.7333,-25.6667,12.4,71,40,8.75,PT,1709752860
185,papatowai,-46.5619,169.4708,9.97,88,29,2.5,NZ,1709753127
186,nova sintra,14.8667,-24.7167,19.55,73,0,9.45,CV,1709753127
187,gwio kura,12.6753,11.0682,32.48,11,4,4.64,NG,1709753128
188,jamestown,42.097,-79.2353,13.07,100,100,0.89,US,1709753128
189,mirpur sakro,24.5474,67.6277,21.11,53,0,4.67,PK,1709753128
190,la'ie,21.6477,-157.9253,23.98,69,12,7.15,US,1709753129
191,ribeira brava,32.65,-17.0667,18.73,74,26,5.38,PT,1709753129
192,mhamid,29.82,-5.72,21.82,14,100,4.44,MA,1709753130
193,vernon,50.2581,-119.2691,0.34,57,15,1.03,CA,1709753130
194,sao vicente,-23.9631,-46.3919,30.1,70,100,2.06,BR,1709752945
195,nainpur,22.4333,80.1167,20.31,28,3,3.07,IN,1709753131
196,rikaze,29.25,88.8833,-0.65,22,0,1.58,CN,1709753131
197,enewetak,11.3474,162.3373,26.25,77,60,10.43,MH,1709753131
198,murzuq,25.9155,13.9184,18.76,21,53,5.37,LY,1709753132
199,walvis bay,-22.9575,14.5053,18.53,82,0,5.52,NA,1709753132
200,raja,8.4596,25.678,27.78,10,100,1.43,SS,1709753132
201,hamilton,39.1834,-84.5333,12.91,94,100,7.2,US,1709753133
202,sinop,41.7711,34.8709,4.63,95,100,2.81,TR,1709752979
203,torrington,41.8007,-73.1212,10.96,95,100,1.98,US,1709753133
204,olinda,-8.0089,-34.8553,29.85,74,75,4.12,BR,1709753134
205,santyoku,37.4406,129.1708,1.23,82,99,1.24,KR,1709753134
206,moose jaw,50.4001,-105.5344,-12.85,72,100,4.12,CA,1709753134
207,rhinelander,45.6366,-89.4121,9.84,23,0,4.63,US,1709753135
208,'ali sabieh,11.1558,42.7125,25.07,82,23,6.35,DJ,1709753135
209,tyukhtet,56.5389,89.3011,-6.1,92,100,3.07,RU,1709753136
210,turaif,31.6725,38.6637,15.14,41,0,8.23,SA,1709753136
